sample_id,production_year,coverage_hifi,deepconsensus_coverage_hifi,coverage_non_dc,coverage_mm_hifi,hifi_prod_site,n50_hifi,phasing,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,read_N50_ont,sequencing_chemistry_ont,notes
HG01150,YR3,59.5,41.1,18.40,55.1,RU,19523.85,trio,46.4,37.93,16993721,39.57,20.21,102155,R1041,top up ONT UL being done
HG01192,YR3,68.97,44.37,24.60,60.1,WUSTL,20097.97,trio,147.28,33.85,15775380,51.14,24,94124,R1041,top up ONT UL being done
HG01252,YR3,58.2,41.5,16.70,54.2,RU,19961.44,trio,88.6,37.5,16171830,46.78,24.97,106415,R1041,top up ONT UL being done
HG01261,YR3,68.83,42.83,26.00,61.1,WUSTL,20079.22,trio,102.12,37.13,16569458,76.34,32.49,87567,R1041,
HG01530,YR3,60.47,49.87,10.60,54.7,RU,18377.7,hic,165.43,35.42,18941197,57.91,33.87,118623,R1041,
HG01784,YR3,67.04,46.04,21.00,59.9,RU,22071.08,hic,33.8,35.17,21049068,69.56,40.03,115954,R1041,
HG01940,YR3,57.96,39.46,18.50,54.3,RU,19213.25,trio,26.14,37.31,22363243,56.86,26.01,91528,R1041,
HG01960,YR3,57.42,40.82,16.60,53.2,RU,18757.88,trio,36.92,39.06,14552038,35.02,20.39,117876,R1041,top up ONT UL being done
HG01969,YR3,58.77,39.37,19.40,54.7,RU,21050.36,trio,95.94,37.98,12005365,47.74,24.22,101408,R1041,top up ONT UL being done
HG01975,YR3,62.86,39.16,23.70,58.8,WUSTL,18937.41,trio,51.08,38.54,19380665,84.32,45.82,108468,R1041,
HG02015,YR3,57.51,40.61,16.90,72.1,WUSTL,18569.69,trio,17.98,38.15,17165724,84.09,30.88,76593,R1041,
HG02040,YR3,64.47,49.37,15.10,57,UW,21014.23,hic,49.16,36.62,22714843,61.38,35.48,116893,R1041,
HG02056,YR3,65.52,44.72,20.80,57.6,WUSTL,19867.9,trio,49.28,35.74,17893845,72.52,38.62,106835,R1041,
HG02129,YR3,61.19,40.89,20.30,56.1,WUSTL,18275,trio,99.6,38.06,21855729,91.59,25.44,68034,R1041,
HG02155,YR3,68.38,40.68,27.70,63,WUSTL,19108.65,hic,61.62,33.8,31096825,53.45,26.9,100728,R1041,
HG02165,YR3,65.38,50.78,14.60,58.1,UW,20392.72,hic,44.46,36.41,14542468,54.51,31.57,116899,R1041,
HG02258,YR3,62.52,42.92,19.60,56.1,WUSTL,19168.02,trio,35.6,36.73,21017749,51.9,20.47,79803,R1041,top up ONT UL being done
HG02273,YR3,56.88,44.48,12.40,51.6,WUSTL,20784.84,hic,230.78,35.55,27501145,55.95,36.9,143327,R1041,
HG02391,YR3,58.59,48.59,10.00,53.1,RU,24400.22,hic,71.7,34.77,17830641,76.47,42.08,109621,R1041,
HG02451,YR3,63.5,47.4,16.10,58.5,UW,18051.1,trio,48.8,37.64,15407782,72.4,35.17,97503,R1041,
HG02514,YR3,57.77,32.97,24.80,54.6,RU,19170.61,trio,118.32,39.46,16405113,69.69,37.84,108779,R1041,
HG02735,YR3,64.6,41.6,23.00,59.4,UW,19724.24,trio,28.28,39.12,16281883,73.1,28.93,82517,R1041,
HG02841,YR3,66.35,37.45,28.90,62.4,RU,16339.37,trio,47.56,37.58,17812671,54.67,28.05,102548,R1041,
HG02922,YR3,64.09,57.29,6.80,56.7,UW,21986.67,hic,231.06,34.9,22850916,70.08,28.93,85552,R1041,
HG02965,YR3,64.68,42.88,21.80,59.7,WUSTL,19783.39,hic,53.29,37.22,11431438,64.74,39.97,131198,R1041,
HG02976,YR3,62.34,40.24,22.10,58.5,WUSTL,18597.63,hic,132.28,36.84,8244984,55.75,25.57,91714,R1041,
HG02984,YR3,62.17,32.57,29.60,58.7,RU,18719.72,trio,41.1,39.41,17069247,48.37,27.39,114214,R1041,
HG03017,YR3,61.68,44.68,17.00,54.9,UW,20691.65,trio,111.96,38,19481891,92.29,27.9,71389,R1041,
HG03041,YR3,59.33,42.63,16.70,52.9,UW,19400.87,trio,34.1,36.22,16189013,47.45,21.75,92350,R1041,top up ONT UL being done
HG03050,YR3,49.41,23.81,25.60,47.2,RU,19009.62,trio,144.74,35.54,24120418,43,22.14,102958,R1041,top up ONT UL being done
HG03130,YR3,64.07,44.97,19.10,57,UW,19733.28,hic,64.46,48.01,10294458,54.12,35.66,142596,R1041,
HG03139,YR3,61.57,48.97,12.60,53.9,UW,21757.5,hic,63.76,38.95,13390182,55.63,36.39,141979,R1041,
HG03195,YR3,66.55,39.75,26.80,62,WUSTL,20396.26,hic,165.92,36.28,11766121,49.53,22.92,93610,R1041,top up ONT UL being done
HG03209,YR3,63.07,45.37,17.70,55.2,UW,18663.16,hic,70.16,35.79,10077421,59.08,27.33,93894,R1041,
