sample_id,production_year,coverage_hifi,deepconsensus_coverage_hifi,coverage_non_dc,coverage_mm_hifi,hifi_prod_site,n50_hifi,phasing,coverage_hic,coverage_ill,total_reads_kinnex,coverage_ont,coverage_100kb_ont,read_N50_ont,sequencing_chemistry_ont,notes
HG02071,YR2,62.62,38.02,24.60,56.8,UW,18686,trio,152.99,38.53,14820699,62.03,27.08,89275,R1041,
HG02074,YR2,73.36,37.66,35.70,67.2,UW,19023.57,trio,31.48,46.03,11602048,37.59,19.99,106609,R1041,top up ONT UL being done
HG02083,YR2,64.96,47.56,17.40,61,WUSTL,19944.32,trio,95.34,36.95,14282557,48.44,27.93,118459,R1041,
HG02132,YR2,66.62,44.92,21.70,61.2,UW,19834.15,trio,138.23,37.13,13409159,54.28,29.47,109021,R1041,
HG02135,YR2,62.36,43.96,18.40,54.4,UW,17649.75,trio,118.56,38,14557870,76.98,39.18,101953,R1041,
HG02280,YR2,70.99,36.49,34.50,66.9,WUSTL,21645.28,trio,128.88,39.44,21286278,36.68,19.84,108736,R1041,top up ONT UL being done
HG02293,YR2,62.04,37.04,25.00,56.2,UW,18688.62,trio,165.24,36.27,19494100,55.47,25.44,92008,R1041,
HG02300,YR2,63.09,34.49,28.60,58.7,UW,17849.93,trio,84.52,37.86,19252767,65.45,37.9,119447,R1041,
HG02523,YR2,65.77,34.77,31.00,62.6,WUSTL,22354.33,trio,101.26,36.25,15111145,53.85,29.24,109510,R1041,
HG02602,YR2,65.07,37.77,27.30,59.9,WUSTL,20956.77,trio,170.05,38.55,19086197,72.97,30.87,87556,R1041,
HG02615,YR2,71.11,34.81,36.30,68.3,WUSTL,18397.3,trio,93.06,39.15,17003779,48.39,21.72,89780,R1041,top up ONT UL being done
HG02647,YR2,60.1,45.2,14.90,54.7,UW,18117.45,trio,114.93,40.3,17358721,63.14,37.86,123832,R1041,
HG02668,YR2,65,0,65.00,65,RU,17896.66,trio,155.86,34.38,18826244,48.26,27.99,118103,R1041,
HG02683,YR2,63.28,36.36,26.92,26.92,UW,18852.33,trio,72.2,31.39,22027987,89.52,44.39,99240,R1041,sample flagged in R2 assembly
HG02698,YR2,71.45,34.15,37.30,68.8,WUSTL,19528.88,trio,41.05,35.75,16574574,79.73,43.76,110569,R1041,
HG02738,YR2,66.58,38.88,27.70,58.2,UW,18876.08,trio,99.52,44.89,15035241,50.41,27.99,113338,R1041,
HG02809,YR2,74.49,43.59,30.90,67.6,WUSTL,22792.51,trio,218.04,37.42,20993500,49.35,23.46,95004,R1041,top up ONT UL being done
HG03654,YR2,66.15,41.35,24.80,61.6,WUSTL,17966.84,trio,88.16,36.16,18853990,58.66,31.32,106804,R1041,
HG03669,YR2,71.89,41.39,30.50,67,WUSTL,19075.97,trio,83.12,37.7,11868526,56.8,23.26,83732,R1041,top up ONT UL being done
HG03688,YR2,61.96,42.36,19.60,55.8,UW,17547.24,trio,111.1,37.02,18063684,62.9,35.16,112957,R1041,
HG03710,YR2,76.64,35.84,40.80,73.6,WUSTL,20956.89,trio,129.88,37.3,19783115,66.89,24.6,76862,R1041,top up ONT UL being done
HG03804,YR2,69.6,0,69.60,69.6,RU,18051.62,trio,119.85,34.27,19533765,64.32,35.54,111157,R1041,
HG03816,YR2,59.9,0,59.90,59.9,RU,17857.94,trio,162.41,33.06,17784728,41.76,23.4,113962,R1041,top up ONT UL being done
HG03831,YR2,76.39,36.49,39.90,70.7,WUSTL,21101.59,trio,92.26,35.69,20725252,62.15,29.66,95824,R1041,
HG03927,YR2,60,44,16.00,52.8,UW,16689.15,trio,100.16,35.32,17408754,62.65,33.79,108131,R1041,
HG03942,YR2,64.17,41.77,22.40,57,UW,18468.67,trio,40.7,36.07,14584636,53.21,24.84,93289,R1041,top up ONT UL being done
HG04115,YR2,69.06,35.86,33.20,63.8,UW,20320.83,trio,209.28,34.91,18372188,57.27,29.13,101673,R1041,
HG04157,YR2,60.3,0,60.30,60.3,RU,17853.97,trio,154.56,37.15,15201610,41.35,21.76,105584,R1041,top up ONT UL being done
HG04160,YR2,58.5,0,58.50,58.5,RU,17422.77,trio,48.9,35.59,22162092,83.76,45.14,107716,R1041,
HG04184,YR2,62.66,42.86,19.80,54.8,UW,18807.53,trio,79.84,34.59,17810995,52.86,26.07,98757,R1041,
HG04187,YR2,67.2,38.8,28.40,28.4,RU,19041,trio,38.74,35.87,14349653,57.95,35.65,125880,R1041,
HG04199,YR2,67.58,37.48,30.10,62.1,UW,18848.92,trio,108.03,35.63,17566071,59.51,36.45,126832,R1041,
HG04204,YR2,66.01,35.51,30.50,58.8,UW,19381.66,trio,137.44,36.29,20424547,96.87,34.27,75421,R1041,
HG04228,YR2,65.93,50.53,15.40,57.4,UW,19200.55,trio,142.2,36.36,18299689,56.19,28.2,100398,R1041,
HG00099,YR3,73.53,53.73,19.80,66.3,UW,20482.6,hic,56.46,41.5,19956012,53.97,28.19,104933,R1041,
HG00140,YR3,60.64,40.84,19.80,55.4,WUSTL,21091.07,hic,125.94,36.68,21434086,50.08,24.96,99713,R1041,top up ONT UL being done
HG00280,YR3,66.8,48.9,17.90,59.3,UW,20096.6,hic,107,39.93,17784599,71.11,38.9,111167,R1041,
HG00323,YR3,60.32,38.72,21.60,56.7,WUSTL,19236.45,hic,58.56,33.27,12099649,86.38,31.26,77928,R1041,
HG00408,YR3,63.37,43.37,20.00,57.4,WUSTL,18374.09,trio,84.38,36.58,21778143,46.77,26.18,112302,R1041,
HG00558,YR3,62.98,40.48,22.50,56.5,UW,21497.06,trio,38.52,35.25,12646912,41.79,20.4,97825,R1041,top up ONT UL being done
HG00597,YR3,66.33,43.93,22.40,59.1,WUSTL,18853.87,trio,104.34,35.96,20552427,63.48,34.14,107607,R1041,
HG00639,YR3,64.17,41.87,22.30,56.5,UW,20629.42,trio,93.2,33.32,18042426,57.8,38.32,144010,R1041,
HG00658,YR3,68.34,40.84,27.50,63.4,RU,18242.87,trio,64.28,35.66,17537411,73.93,44.86,130305,R1041,
HG01074,YR3,64.16,46.36,17.80,58.2,UW,19801.98,trio,33.32,35.95,11352094,61.86,36.88,124205,R1041,
HG01081,YR3,60.69,42.29,18.40,53.2,UW,20738.57,trio,110.24,37.06,18138156,53.19,23.49,89441,R1041,top up ONT UL being done
